epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,205.012,1.43875,1.96256,0.26127,1.06375,0.96765,0.38435,0.46554,0.41083,0.22654,0.37957,0.4488,0.4197,0.2483,1.35547,1.59862,0.18925,0.91771,0.96482,0.0007624,0.0007624,0.0007624
50,208.802,1.4085,1.94156,0.25514,0.98209,0.98568,0.3766,0.45695,0.41566,0.23351,0.37438,0.45725,0.41953,0.24568,1.29449,1.57015,0.18418,0.92031,0.95604,0.00075745,0.00075745,0.00075745
51,212.529,1.36433,1.92006,0.25891,0.98386,0.96686,0.37744,0.43656,0.41826,0.23785,0.36922,0.44126,0.41761,0.24946,1.27782,1.53535,0.18485,0.90469,0.95436,0.0007525,0.0007525,0.0007525
52,216.325,1.38261,1.85056,0.25805,0.97395,0.96502,0.70123,0.36773,0.43718,0.25193,0.74534,0.37608,0.44691,0.27328,1.26652,1.48999,0.1842,0.88948,0.94568,0.00074755,0.00074755,0.00074755
53,220.209,1.39713,1.85525,0.24531,1.02094,0.97098,0.45144,0.42993,0.44902,0.25523,0.51978,0.41541,0.46309,0.28348,1.24953,1.48496,0.17963,0.87844,0.94233,0.0007426,0.0007426,0.0007426
54,224.106,1.35734,1.69361,0.24366,0.94598,0.95314,0.40235,0.46529,0.45566,0.25714,0.41138,0.4732,0.4646,0.28745,1.26283,1.45521,0.17328,0.88008,0.94403,0.00073765,0.00073765,0.00073765
55,228.332,1.36551,1.70635,0.23688,0.95062,0.95827,0.40926,0.47983,0.46304,0.26199,0.41494,0.48601,0.46439,0.28611,1.25547,1.43881,0.17386,0.87289,0.94166,0.0007327,0.0007327,0.0007327
56,232.542,1.3435,1.68032,0.23192,0.93106,0.97325,0.41058,0.48254,0.46695,0.26022,0.40084,0.49764,0.47526,0.29174,1.25179,1.42788,0.16673,0.86055,0.94468,0.00072775,0.00072775,0.00072775
57,236.765,1.33295,1.69228,0.24073,0.91559,0.94559,0.46663,0.47346,0.46286,0.26264,0.49263,0.48219,0.4852,0.30232,1.24262,1.39937,0.1697,0.86923,0.93921,0.0007228,0.0007228,0.0007228
58,241.226,1.34137,1.66943,0.22971,0.9252,0.95228,0.47147,0.46054,0.45706,0.26154,0.50884,0.46494,0.47754,0.29554,1.23064,1.38191,0.16252,0.86109,0.94045,0.00071785,0.00071785,0.00071785
